#Table1
u,g,r,i,z,subClass
18.0626,16.5958,15.98307,15.69596,15.53854,G0
17.55939,15.94559,15.35866,15.11023,14.9878,F9
19.90691,18.43385,17.83453,17.58471,17.45377,F9
17.99961,16.75183,16.29919,16.145,16.07619,G2
19.93802,18.24609,17.54672,17.26158,17.11551,K3
17.21988,16.20425,15.81616,15.65534,15.59316,F5
18.57705,16.91248,16.25593,15.95403,15.82816,F9
18.79042,17.88058,17.62543,17.5206,17.52951,A0
16.65255,15.25659,14.74202,14.51043,14.4436,F9
16.46402,15.19637,14.67906,14.43677,14.33492,F2
19.19234,17.68114,17.11344,16.88688,16.77531,F9
21.24903,20.06146,20.03099,20.09053,20.04117,A0
19.30437,18.23283,18.07797,18.02242,18.01381,A0
17.00254,15.35527,14.73952,14.50755,14.40796,F9
17.47383,16.41803,16.07634,15.96205,15.90247,F5
19.63757,17.89702,17.32016,17.06604,17.0345,K1
17.14849,15.83151,15.35753,15.18887,15.12737,F9
17.8271,16.23793,15.67866,15.49427,15.41664,F9
17.3725,16.25937,15.88727,15.75644,15.71021,F2
18.44119,17.54684,17.27727,17.1878,17.20361,A0
23.48075,21.71,20.12618,18.33704,17.38976,M5
18.81409,17.81767,17.42276,17.27636,17.19604,G0
18.89333,17.85076,17.44715,17.31207,17.24033,F2
22.02443,19.79301,18.82932,18.47478,18.31323,K5
19.02979,18.0895,17.76269,17.62774,17.56006,F5
18.96287,18.04177,18.32367,18.50766,18.65639,A0
22.83028,21.95217,20.57192,19.8426,19.3604,M0
19.28443,17.44748,16.70467,16.42154,16.29087,K1
20.12395,18.89114,18.76736,18.76601,18.7487,A0
23.69658,21.75616,20.18237,18.99748,18.38228,M3
17.44867,16.52933,16.21541,16.08432,16.05429,F5
20.74123,19.66285,19.63272,19.6679,19.64562,A0
19.21576,19.04587,19.06385,19.19796,19.37505,CarbonWD
20.73476,18.87817,18.14608,17.87775,17.74674,K3
20.09243,18.87709,18.93601,19.05391,19.06481,A0
20.66632,17.57561,16.39448,15.92606,15.63563,K3
19.3352,18.07437,17.52532,17.31001,17.22047,G0
20.27968,19.07658,19.06595,19.1238,19.06465,A0
17.97916,16.98182,16.66308,16.53443,16.52221,F5
20.37991,19.14252,18.99437,18.97103,18.93525,A0
20.45111,19.17642,18.6116,18.37126,18.29814,F9
20.30804,19.31095,18.82148,18.59824,18.50183,G0
20.45656,18.92825,18.32871,18.09238,18.01676,F9
20.827,19.94517,19.70674,19.58404,19.4828,A0
21.63096,20.25561,19.72595,19.51122,19.31627,F9
20.34004,18.88663,18.29647,18.05893,17.94444,F9
18.11461,17.38143,16.72345,15.57533,14.84278,M4
20.0906,18.93718,18.89462,18.88131,18.94319,A0
17.78664,16.57143,16.49682,16.47861,16.47653,A0
20.88517,19.50636,18.99223,18.81938,18.63652,F9
24.46876,20.67434,19.30035,18.61083,18.2514,M0
19.13121,18.1962,17.84816,17.70356,17.63925,F5
19.25423,17.81827,17.21381,16.99188,16.88722,F9
21.22678,18.61953,17.4016,16.91124,16.62136,K7
21.27724,18.63987,17.15153,16.35133,15.88006,M0
21.12742,18.94843,17.84781,17.40666,17.18066,K5
18.67951,17.76046,17.55988,17.45676,17.44561,A0
19.15452,18.0755,17.96536,17.96392,18.00143,A0
19.62352,18.29473,17.76193,17.52157,17.37519,F5
16.82701,15.30022,14.73089,14.5436,14.44859,F9
17.37317,16.45061,16.17732,16.0719,16.05758,A0
