#Table1
u,g,r,i,z,subClass
19.38106,18.15298,17.69456,17.54896,17.51253,F9
26.10964,21.24933,20.4292,20.14434,19.80446,K3
20.36977,19.054,18.59802,18.71005,18.37234,G2
18.37843,17.94369,18.27014,18.53899,18.77881,A0
25.3312,22.57548,21.09632,19.21928,18.10599,M5
20.2203,19.83743,19.75865,19.78022,20.03609,B6
23.34295,22.24047,20.76167,18.62532,17.45355,M6
16.04831,15.00813,15.26149,15.46754,15.58925,A0
19.34122,18.04254,18.15053,18.2678,18.2939,A0
20.61935,19.35447,18.99975,18.83821,18.89554,F2
18.49724,17.53182,17.21066,17.08833,17.04356,A0
16.00535,16.33058,16.82832,17.19751,17.56218,WD
21.58139,20.36988,20.42282,20.47683,20.75468,A0
17.4475,16.21561,16.35276,16.48186,16.57212,A0
25.40706,22.63853,21.47087,18.91146,17.48204,M7
25.84669,22.22671,20.66292,18.73141,17.63657,M6
22.08954,19.46536,18.21193,17.79012,17.47861,K7
18.71065,17.69099,17.64243,17.67385,17.67174,A0
24.89024,22.68716,21.09786,19.02299,17.80437,M6
24.86483,23.10643,21.40419,19.07789,17.80329,M7
25.43977,21.88224,20.36456,18.27704,17.16148,M6
25.36406,21.92789,20.36245,17.92927,16.59293,M7
18.60007,17.47283,17.12502,17.0062,16.9534,G0
24.89734,21.56244,19.77705,17.32641,15.96814,M7
17.76379,16.87111,16.5783,16.48003,16.44936,F5
18.22816,17.12923,16.75838,16.61901,16.54409,F2
18.37725,17.27967,17.19107,17.24895,17.3694,A0
20.348,19.08368,18.47795,18.5014,18.14685,F9
22.11395,21.65209,19.80073,18.66449,17.77278,M5
18.83784,17.72766,17.29914,17.13794,17.08523,G2
17.38437,17.0357,17.02012,17.06434,17.15013,WD
20.02279,19.74833,19.92751,20.14722,20.15972,WD
15.70122,16.1433,16.67682,17.02451,17.36218,B9
24.50699,22.95761,21.53716,19.30291,18.0046,M7
18.95272,18.82956,18.64917,18.37289,18.10728,WD
18.41505,17.0689,16.55933,16.37756,16.2402,F9
20.45495,17.75906,16.4525,15.94604,15.64344,K7
17.00516,17.16253,17.44064,17.60296,17.70354,B9
19.61332,18.49686,18.13665,18.00311,17.97827,F5
19.56075,18.48131,18.0506,17.89073,17.828,G2
19.80165,18.72578,18.7104,18.79827,18.95907,A0
22.57222,21.47551,20.76316,20.45955,20.6913,K5
19.7207,17.88695,17.27436,17.23428,17.01208,K1
20.26751,19.15252,19.02924,19.00291,19.04558,A0
20.61302,20.24165,20.60313,20.79125,21.32662,WD
19.07258,17.93781,17.96989,18.08257,18.15118,A0
19.04493,18.06807,17.99383,17.99245,18.04222,A0
17.46226,16.3206,16.39317,16.49478,16.58216,A0
19.87842,18.71968,18.72037,18.77707,18.80219,A0
23.50611,20.73359,19.93433,19.64083,19.49519,K3
24.4232,22.58003,20.8821,20.18766,19.74781,M2
19.92352,17.2965,15.85886,15.30107,14.86018,K7
22.69221,20.73837,19.84698,19.50646,19.23542,K3
24.66364,24.02498,22.00005,20.38411,19.33489,M5
22.72093,20.77759,19.87573,19.60492,19.33667,K1
23.68565,21.71762,20.58406,20.18981,19.84033,K7
22.14964,19.47161,18.39139,17.81939,17.65876,K3
18.55369,18.52767,18.66596,18.79852,18.61176,CV
23.14553,21.62514,20.67472,20.33328,19.96583,K5
23.55435,21.23676,20.30815,19.90234,19.63067,K3
22.64125,21.48668,20.03267,19.21087,18.77625,M1
21.53006,18.76463,17.40645,16.97618,16.6716,K5
19.99739,18.79014,18.27353,18.10587,17.98576,F9
18.8128,17.6903,17.21429,17.01652,16.94597,F2
24.44424,23.35039,21.38719,20.25571,19.70287,M3
20.87866,19.2278,18.60421,18.33632,18.2421,F9
24.12568,20.5645,19.63519,19.30772,19.03767,K3
18.851,16.97161,16.20819,15.9099,15.73978,K1
18.11902,17.09677,16.68347,16.51466,16.44376,F5
22.73779,21.53786,19.87126,19.22334,18.89422,M0V
21.54637,20.75842,19.97035,20.12868,19.9054,CV
23.71242,22.01116,20.86605,20.72878,19.94509,K7
25.42099,21.28774,20.4627,20.16148,19.9083,K3
22.89327,21.06455,20.2475,19.9955,19.69787,K3
21.61813,19.17458,18.12904,17.7474,17.48954,K5
25.80044,23.36931,21.69306,20.43612,19.51904,M4
25.23939,22.58982,20.93156,19.64879,18.89649,M3
19.34354,18.62706,18.2379,17.35999,17.80207,G2
18.24797,16.74926,16.17901,15.98131,15.86745,F9
25.08074,23.37705,21.76249,20.35839,19.64972,T2
26.46795,22.6229,20.92422,20.31315,19.81094,M0
22.3016,20.08533,18.63619,17.72193,17.2136,M1
18.2,16.34528,15.67541,15.46655,15.34116,K1
17.6572,16.65813,16.30684,16.15946,16.09718,F5
18.13944,17.20271,16.85935,16.71704,16.64617,F5
18.47811,17.25017,16.78511,16.61646,16.50704,G2
23.1448,20.58419,19.69913,19.36546,19.22833,K3
23.79596,22.26421,21.05302,20.27152,19.80294,T2
24.37134,22.14818,20.71889,20.11114,19.74913,M0V
24.58779,21.22438,19.78725,18.58467,17.88732,M3
25.34015,21.29965,19.69256,18.52969,17.89789,M3
22.45733,19.89982,18.76559,18.27232,17.9704,K5
23.71887,20.70522,19.49505,18.41681,18.00112,M2
24.48192,21.65695,20.29654,19.20502,18.69356,M3
21.78732,19.46429,18.07747,17.44467,17.04461,M0
19.48041,18.37891,17.97458,17.81429,17.74019,F5
19.79689,18.51629,17.98758,17.807,17.67169,F9
25.09078,22.43077,20.87207,20.27835,20.0406,K7
23.72358,21.52612,20.04125,19.69162,19.18725,K5
22.29114,19.42416,17.92709,16.64542,15.93042,M3
19.00097,17.7008,17.27706,17.15006,17.05348,F9
24.79158,22.46461,21.17337,20.27217,19.93458,M1
22.57932,21.17232,19.64359,18.83301,18.34837,M1
19.31801,17.42865,16.7065,16.43383,16.2548,K1
20.70629,18.4343,17.52881,17.20447,17.04276,K3
18.97729,17.44094,16.82767,16.60262,16.45274,F9
20.3082,17.66608,16.41908,15.90698,15.59034,K7
21.25469,18.79642,17.60178,17.13922,16.86812,K5
20.58155,19.09934,18.53304,18.2913,18.15076,F9
19.4244,18.36563,17.91817,17.7378,17.62828,F2
20.60168,19.23919,18.71963,18.49309,18.39712,F9
19.20268,17.13594,16.39185,16.16953,16.03108,K1
18.9445,16.84748,16.07988,15.82498,15.67255,K1
18.6201,17.08537,16.45678,16.22609,16.07723,F9
23.88738,23.08344,21.68712,20.38029,19.66236,M1
23.66373,21.10898,20.14838,19.77288,19.50677,K5
23.98553,21.91081,20.41264,19.17176,18.47006,M3
24.10335,22.18933,20.6543,19.63313,19.09497,M0
21.6794,20.17346,19.13075,18.76981,18.504,K5
19.54655,19.03401,19.07618,19.16894,19.24053,WD
23.00554,19.99858,18.47389,17.48021,16.9059,M2
24.89302,23.13443,21.39046,20.50112,19.82856,M1
20.1937,19.14801,18.9393,18.88976,18.88805,A0
23.26185,22.30457,20.87694,20.40198,19.94688,L9
24.00691,22.60772,21.22163,20.48792,19.95112,L5.5
23.23416,22.39711,21.15368,20.17487,19.73555,M0
23.99608,21.42827,19.86392,18.60643,17.88341,M3
20.15103,18.89677,18.77841,18.783,18.75307,A0
22.51783,20.57788,19.86069,19.53953,19.3312,K3
20.93444,18.51394,17.73477,17.36026,17.2667,K1
22.69427,21.39102,20.66832,20.44062,20.15768,K3
18.16411,18.5475,18.95711,19.30246,19.58192,B9
20.72629,19.75801,19.29417,19.11226,19.0698,G2
24.52495,23.01642,21.65144,20.22246,19.78831,M4
24.29091,21.42782,20.27197,19.80774,19.69987,K5
22.39889,20.98121,20.23577,20.02365,19.68945,K3
17.94813,16.95738,16.63106,16.49916,16.39878,F5
22.70001,20.10662,18.66659,17.71045,17.18048,M2
24.99212,23.39767,21.29309,19.35204,18.17419,M6
24.79495,21.61164,20.09202,18.85947,18.18015,M3
19.33583,18.30041,17.86453,17.71606,17.65142,F2
24.93138,21.48243,20.37317,20.06609,19.90612,K7
19.94808,19.69387,19.96439,20.19713,20.29172,WD
25.35194,22.42709,20.7038,18.81214,17.6761,M6
19.23773,18.07561,17.61952,17.48322,17.42286,G2
22.92898,21.43046,19.86713,18.58274,18.05882,M3
19.33486,18.17344,17.70138,17.53005,17.46614,G2
19.3413,18.21511,18.16998,18.2229,18.25489,A0
23.66619,21.06299,20.16734,19.86245,19.63115,K3
23.81051,21.29786,20.53839,20.2653,20.06195,K3
17.3307,16.3331,15.94383,15.8003,15.74473,F5
25.33295,21.09594,20.48006,20.1811,20.10593,F9
18.2777,17.07912,16.97993,16.98118,17.04959,A0
20.93347,19.69685,19.19497,19.05367,19.03417,F9
19.79687,18.67368,18.18035,17.97952,17.89712,G2
23.80375,21.7942,20.21309,19.05754,18.33543,M3
19.83998,18.83138,18.62778,18.57713,18.59222,A0
16.61461,15.34073,15.38575,15.42507,15.45481,A0
18.93985,17.81717,17.32984,17.11195,17.02054,F2
21.04839,18.51493,17.17512,16.58079,16.2527,K7
25.10249,24.41131,22.56917,19.90809,17.88376,M9
19.07163,18.10234,17.82277,17.73403,17.72438,F5
18.67357,17.48287,16.97191,16.76064,16.6639,G0
22.34237,20.83778,18.71504,17.73954,17.22018,M2
17.89245,16.96747,16.68084,16.57251,16.51768,F5
19.1757,18.01868,17.54674,17.36105,17.28786,F2
25.94524,22.35875,20.65779,18.86583,17.81109,M5
24.68538,21.62478,19.88974,18.8703,18.32058,M1
18.53255,17.40498,17.07376,16.94728,16.91381,F5
18.23119,17.10233,16.70922,16.57526,16.5266,G0
19.42386,18.93721,18.93081,18.94344,18.97551,WD
19.31887,18.317,17.94919,17.78375,17.73283,F5
17.70455,16.63912,16.5645,16.56845,16.60033,A0
19.35275,19.19295,18.92186,18.30314,17.8373,M2
19.42963,18.33191,18.20323,18.1987,18.2199,A0
18.58699,17.2394,16.65241,16.39674,16.27121,F9
20.26229,19.05494,19.03284,19.05492,19.10529,A0
21.77518,20.28725,20.37011,20.35789,20.83527,A0
25.73764,22.66293,21.40118,19.38188,18.4123,M5
24.4594,20.00416,18.59705,18.16353,17.93562,Carbon
19.14538,18.12396,17.76046,17.65446,17.60011,F5
24.17318,22.92138,20.87034,18.35911,16.50161,M9
18.836,17.70018,17.41755,17.29112,17.261,F5
19.76556,18.59129,18.31689,18.24904,18.19876,A0
19.83404,18.81432,18.73194,18.78168,18.8244,A0
19.15024,19.10452,19.33403,19.56244,19.91246,OB
23.95287,20.74799,19.26567,18.31965,17.77946,M1
24.46494,25.26079,22.77716,20.01167,18.57126,M7
18.91663,17.80005,17.73934,17.74277,17.78883,A0
17.82794,16.61654,16.16058,15.98528,15.9226,F9
24.51791,23.27721,21.59584,19.13142,17.62102,M8
20.35146,19.10025,18.85115,18.77677,18.67139,F5
19.47002,18.53491,18.26087,18.18787,18.11076,A0
22.94962,20.60932,18.96341,17.69575,16.97714,M2
17.78433,16.63628,16.22339,16.06079,16.01843,G0
20.55991,19.42739,19.17686,19.07486,19.085,A0
17.45106,16.42891,16.29927,16.25263,16.2889,A0
16.60613,15.4394,15.38155,15.3961,15.43983,A0
18.79617,17.7214,17.64731,17.64612,17.67477,A0
16.99458,15.71407,15.89305,16.03573,16.11359,A0
18.26137,17.09092,16.66672,16.50287,16.42222,G2
18.45782,17.43254,17.11235,16.98668,16.93474,F5
18.35068,17.1323,16.69338,16.5298,16.45769,G2
20.18751,19.21918,18.95724,18.85347,18.80804,F5
16.24333,15.19536,15.05885,15.04163,15.07286,A0
20.52611,19.54273,19.31241,19.22276,19.20258,A0
17.67636,16.45419,16.00113,15.82188,15.78339,F9
19.52218,18.51159,18.38826,18.38154,18.45649,A0
20.37782,19.29817,19.08784,19.01526,19.02804,A0
17.65167,16.56189,16.11568,15.94325,15.84189,F5
